username,repo_name,stars,repo_url
mrdoob,three.js,102000,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,27000,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,23100,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,23000,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,20200,https://github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,18800,https://github.com/FreeCAD/FreeCAD
lettier,3d-game-shaders-for-beginners,17700,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,16600,https://github.com/aframevr/aframe
blender,blender,12700,https://github.com/blender/blender
CesiumGS,cesium,12700,https://github.com/CesiumGS/cesium
MonoGame,MonoGame,11300,https://github.com/MonoGame/MonoGame
isl-org,Open3D,11100,https://github.com/isl-org/Open3D
mapbox,mapbox-gl-js,11000,https://github.com/mapbox/mapbox-gl-js
metafizzy,zdog,10300,https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,9600,https://github.com/timzhang642/3D-Machine-Learning
nerfstudio-project,nerfstudio,9200,https://github.com/nerfstudio-project/nerfstudio
4ian,GDevelop,8900,https://github.com/4ian/GDevelop
a1studmuffin,SpaceshipGenerator,7600,https://github.com/a1studmuffin/SpaceshipGenerator
FyroxEngine,Fyrox,7600,https://github.com/FyroxEngine/Fyrox
domlysz,BlenderGIS,7600,https://github.com/domlysz/BlenderGIS
