username,repo_name,stars,repo_url
public-apis,public-apis,312000,https://github.com/public-apis/public-apis
neovim,neovim,81400,https://github.com/neovim/neovim
fastapi,fastapi,75300,https://github.com/fastapi/fastapi
hoppscotch,hoppscotch,63600,https://github.com/hoppscotch/hoppscotch
strapi,strapi,62600,https://github.com/strapi/strapi
ocornut,imgui,59200,https://github.com/ocornut/imgui
slatedocs,slate,36000,https://github.com/slatedocs/slate
QuivrHQ,quivr,35800,https://github.com/QuivrHQ/quivr
Kong,insomnia,34300,https://github.com/Kong/insomnia
trpc,trpc,34200,https://github.com/trpc/trpc
httpie,cli,33300,https://github.com/httpie/cli
ccxt,ccxt,32400,https://github.com/ccxt/ccxt
hasura,graphql-engine,31000,https://github.com/hasura/graphql-engine
Binaryify,NeteaseCloudMusicApi,30300,https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,28100,https://github.com/encode/django-rest-framework
YMFE,yapi,27300,https://github.com/YMFE/yapi
directus,directus,27000,https://github.com/directus/directus
littlecodersh,ItChat,25400,https://github.com/littlecodersh/ItChat
PostgREST,postgrest,23100,https://github.com/PostgREST/postgrest
mudler,LocalAI,23100,https://github.com/mudler/LocalAI
