username,repo_name,stars,repo_url
bregman-arie,devops-exercises,65700,https://github.com/bregman-arie/devops-exercises
ByteByteGoHq,system-design-101,62700,https://github.com/ByteByteGoHq/system-design-101
localstack,localstack,53600,https://github.com/localstack/localstack
serverless,serverless,46400,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,27100,https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,21300,https://github.com/sst/sst
pulumi,pulumi,20900,https://github.com/pulumi/pulumi
getsops,sops,16200,https://github.com/getsops/sops
kubernetes-sigs,kubespray,15800,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,15300,https://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,14900,https://github.com/ramitsurana/awesome-kubernetes
caprover,caprover,12900,https://github.com/caprover/caprover
donnemartin,awesome-aws,12400,https://github.com/donnemartin/awesome-aws
GoogleCloudPlatform,terraformer,12400,https://github.com/GoogleCloudPlatform/terraformer
milanm,DevOps-Roadmap,11700,https://github.com/milanm/DevOps-Roadmap
aws,aws-cdk,11500,https://github.com/aws/aws-cdk
phidatahq,phidata,11100,https://github.com/phidatahq/phidata
infracost,infracost,10900,https://github.com/infracost/infracost
apereo,cas,10800,https://github.com/apereo/cas
aws,chalice,10600,https://github.com/aws/chalice
