username,repo_name,stars,repo_url
amphp,amp,4200,https://github.com/amphp/amp
danog,MadelineProto,2800,https://github.com/danog/MadelineProto
unreal4u,telegram-api,788,https://github.com/unreal4u/telegram-api
amphp,parallel,770,https://github.com/amphp/parallel
amphp,http-client,702,https://github.com/amphp/http-client
amphp,byte-stream,363,https://github.com/amphp/byte-stream
amphp,mysql,355,https://github.com/amphp/mysql
php-service-bus,service-bus,349,https://github.com/php-service-bus/service-bus
amphp,parallel-functions,268,https://github.com/amphp/parallel-functions
xtrime-ru,TelegramRSS,229,https://github.com/xtrime-ru/TelegramRSS
amphp,process,227,https://github.com/amphp/process
amphp,socket,224,https://github.com/amphp/socket
amphp,sync,158,https://github.com/amphp/sync
amphp,redis,156,https://github.com/amphp/redis
amphp,dns,156,https://github.com/amphp/dns
amphp,websocket-client,144,https://github.com/amphp/websocket-client
kelunik,acme,121,https://github.com/kelunik/acme
amphp,websocket-server,114,https://github.com/amphp/websocket-server
amphp,serialization,107,https://github.com/amphp/serialization
amphp,cache,97,https://github.com/amphp/cache
