username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,111000,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,95600,https://github.com/angular/angular
storybookjs,storybook,83900,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,63000,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,50900,https://github.com/ionic-team/ionic-framework
prettier,prettier,49000,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,42600,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,34900,https://github.com/SheetJS/sheetjs
angular,angular-cli,26700,https://github.com/angular/angular-cli
angular,components,24300,https://github.com/angular/components
wailsapp,wails,24300,https://github.com/wailsapp/wails
NativeScript,NativeScript,24000,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,23900,https://github.com/goldbergyoni/javascript-testing-best-practices
sudheerj,javascript-interview-questions,23500,https://github.com/sudheerj/javascript-interview-questions
nrwl,nx,23000,https://github.com/nrwl/nx
jhipster,generator-jhipster,21400,https://github.com/jhipster/generator-jhipster
pubkey,rxdb,21100,https://github.com/pubkey/rxdb
paperless-ngx,paperless-ngx,19000,https://github.com/paperless-ngx/paperless-ngx
teambit,bit,17800,https://github.com/teambit/bit
sweetalert2,sweetalert2,17200,https://github.com/sweetalert2/sweetalert2
