username,repo_name,stars,repo_url
arendst,Tasmota,21900,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,16100,https://github.com/MarlinFirmware/Marlin
tinygo-org,tinygo,15100,https://github.com/tinygo-org/tinygo
arduino,Arduino,14100,https://github.com/arduino/Arduino
SpacehuhnTech,esp8266_deauther,13300,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,13300,https://github.com/espressif/arduino-esp32
rwaldron,johnny-five,13300,https://github.com/rwaldron/johnny-five
gurugio,lowlevelprogramming-university,10100,https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,8900,https://github.com/hybridgroup/gobot
platformio,platformio-core,7800,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,6700,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,6500,https://github.com/tzapu/WiFiManager
justcallmekoko,ESP32Marauder,5300,https://github.com/justcallmekoko/ESP32Marauder
olikraus,u8g2,5000,https://github.com/olikraus/u8g2
omriharel,deej,4700,https://github.com/omriharel/deej
ClemensElflein,OpenMower,4600,https://github.com/ClemensElflein/OpenMower
Arduino-IRremote,Arduino-IRremote,4400,https://github.com/Arduino-IRremote/Arduino-IRremote
Serial-Studio,Serial-Studio,4300,https://github.com/Serial-Studio/Serial-Studio
arduino,arduino-cli,4300,https://github.com/arduino/arduino-cli
hybridgroup,cylon,4200,https://github.com/hybridgroup/cylon
