username,repo_name,stars,repo_url
sindresorhus,awesome,323000,https://github.com/sindresorhus/awesome
vinta,awesome-python,218000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,193000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,142000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,128000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,90000,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,86600,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,82300,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,74700,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,70200,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,67400,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,64300,https://github.com/enaqx/awesome-react
fffaraz,awesome-cpp,58500,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,57900,https://github.com/binhnguyennus/awesome-scalability
sindresorhus,awesome-nodejs,57700,https://github.com/sindresorhus/awesome-nodejs
prakhar1989,awesome-courses,56400,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,52900,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,50200,https://github.com/wasabeef/awesome-android-ui
tiimgreen,github-cheat-sheet,47300,https://github.com/tiimgreen/github-cheat-sheet
vsouza,awesome-ios,46900,https://github.com/vsouza/awesome-ios
