username,repo_name,stars,repo_url
bregman-arie,devops-exercises,65700,https://github.com/bregman-arie/devops-exercises
microsoft,generative-ai-for-beginners,61500,https://github.com/microsoft/generative-ai-for-beginners
pulumi,pulumi,20900,https://github.com/pulumi/pulumi
recommenders-team,recommenders,18700,https://github.com/recommenders-team/recommenders
danny-avila,LibreChat,17100,https://github.com/danny-avila/LibreChat
getsops,sops,16200,https://github.com/getsops/sops
ramitsurana,awesome-kubernetes,14900,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,13900,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,12900,https://github.com/caprover/caprover
milanm,DevOps-Roadmap,11700,https://github.com/milanm/DevOps-Roadmap
infracost,infracost,10900,https://github.com/infracost/infracost
prowler-cloud,prowler,10500,https://github.com/prowler-cloud/prowler
google,go-cloud,9500,https://github.com/google/go-cloud
microsoft,computervision-recipes,9400,https://github.com/microsoft/computervision-recipes
budtmo,docker-android,9400,https://github.com/budtmo/docker-android
Netflix,metaflow,8000,https://github.com/Netflix/metaflow
microsoft,azuredatastudio,7500,https://github.com/microsoft/azuredatastudio
midwayjs,midway,7300,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,7100,https://github.com/thangchung/clean-code-dotnet
node-formidable,formidable,7000,https://github.com/node-formidable/formidable
