username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,152000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,78600,https://github.com/nvm-sh/nvm
junegunn,fzf,63600,https://github.com/junegunn/fzf
starship,starship,44000,https://github.com/starship/starship
google,zx,42800,https://github.com/google/zx
LeCoupa,awesome-cheatsheets,39400,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,38400,https://github.com/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,36400,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,36000,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,32500,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,30900,https://github.com/jaywcjlove/linux-command
mathiasbynens,dotfiles,30100,https://github.com/mathiasbynens/dotfiles
withfig,autocomplete,24500,https://github.com/withfig/autocomplete
kingToolbox,WindTerm,22500,https://github.com/kingToolbox/WindTerm
dylanaraps,neofetch,21900,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,21500,https://github.com/asdf-vm/asdf
ajeetdsouza,zoxide,21500,https://github.com/ajeetdsouza/zoxide
warpdotdev,Warp,20800,https://github.com/warpdotdev/Warp
atuinsh,atuin,20000,https://github.com/atuinsh/atuin
Nyr,openvpn-install,18900,https://github.com/Nyr/openvpn-install
