username,repo_name,stars,repo_url
ccxt,ccxt,32400,https://github.com/ccxt/ccxt
python-telegram-bot,python-telegram-bot,25800,https://github.com/python-telegram-bot/python-telegram-bot
discordjs,discord.js,25200,https://github.com/discordjs/discord.js
wechaty,wechaty,19900,https://github.com/wechaty/wechaty
RasaHQ,rasa,18600,https://github.com/RasaHQ/rasa
InstaPy,InstaPy,16700,https://github.com/InstaPy/InstaPy
hubotio,hubot,16600,https://github.com/hubotio/hubot
leon-ai,leon,15200,https://github.com/leon-ai/leon
pedroslopez,whatsapp-web.js,15000,https://github.com/pedroslopez/whatsapp-web.js
Rapptz,discord.py,14700,https://github.com/Rapptz/discord.py
tgbot-collection,YYeTsBot,14100,https://github.com/tgbot-collection/YYeTsBot
gunthercox,ChatterBot,14000,https://github.com/gunthercox/ChatterBot
lss233,chatgpt-mirai-qq-bot,12900,https://github.com/lss233/chatgpt-mirai-qq-bot
howdyai,botkit,11400,https://github.com/howdyai/botkit
feder-cr,linkedIn_auto_jobs_applier_with_AI,10600,https://github.com/feder-cr/linkedIn_auto_jobs_applier_with_AI
Mrs4s,go-cqhttp,10400,https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,10000,https://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,8300,https://github.com/yagop/node-telegram-bot-api
telegraf,telegraf,8100,https://github.com/telegraf/telegraf
microsoft,ailab,7700,https://github.com/microsoft/ailab
