username,repo_name,stars,repo_url
practical-tutorials,project-based-learning,195000,https://github.com/practical-tutorials/project-based-learning
CyC2018,CS-Notes,175000,https://github.com/CyC2018/CS-Notes
fffaraz,awesome-cpp,58500,https://github.com/fffaraz/awesome-cpp
azl397985856,leetcode,54400,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,50300,https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,44300,https://github.com/x64dbg/x64dbg
WerWolv,ImHex,42600,https://github.com/WerWolv/ImHex
Light-City,CPlusPlusThings,38700,https://github.com/Light-City/CPlusPlusThings
ClickHouse,ClickHouse,36500,https://github.com/ClickHouse/ClickHouse
huihut,interview,34300,https://github.com/huihut/interview
carbon-language,carbon-lang,32299,https://github.com/carbon-language/carbon-lang
CMU-Perceptual-Computing-Lab,openpose,30700,https://github.com/CMU-Perceptual-Computing-Lab/openpose
doocs,leetcode,30700,https://github.com/doocs/leetcode
TheAlgorithms,C-Plus-Plus,30000,https://github.com/TheAlgorithms/C-Plus-Plus
microsoft,calculator,29500,https://github.com/microsoft/calculator
aseprite,aseprite,28500,https://github.com/aseprite/aseprite
dragonflydb,dragonfly,25200,https://github.com/dragonflydb/dragonfly
changkun,modern-cpp-tutorial,23800,https://github.com/changkun/modern-cpp-tutorial
gabime,spdlog,23700,https://github.com/gabime/spdlog
ethereum,solidity,23000,https://github.com/ethereum/solidity
