username,repo_name,stars,repo_url
vercel,next.js,125000,https://github.com/vercel/next.js
rust-lang,rust,96500,https://github.com/rust-lang/rust
sveltejs,svelte,78100,https://github.com/sveltejs/svelte
webpack,webpack,64500,https://github.com/webpack/webpack
FuelLabs,sway,62800,https://github.com/FuelLabs/sway
gatsbyjs,gatsby,55200,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,48700,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,43400,https://github.com/parcel-bundler/parcel
babel,babel,43100,https://github.com/babel/babel
evanw,esbuild,37900,https://github.com/evanw/esbuild
vlang,v,35600,https://github.com/vlang/v
ziglang,zig,33600,https://github.com/ziglang/zig
markedjs,marked,32700,https://github.com/markedjs/marked
typst,typst,32500,https://github.com/typst/typst
carbon-language,carbon-lang,32299,https://github.com/carbon-language/carbon-lang
swc-project,swc,30900,https://github.com/swc-project/swc
vercel,pkg,24300,https://github.com/vercel/pkg
v8,v8,23200,https://github.com/v8/v8
oracle,graal,20200,https://github.com/oracle/graal
crystal-lang,crystal,19300,https://github.com/crystal-lang/crystal
