username,repo_name,stars,repo_url
jwasham,coding-interview-university,304000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,187000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,184000,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,175000,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,116000,https://github.com/yangshun/tech-interview-handbook
krahets,hello-algo,94400,https://github.com/krahets/hello-algo
kdn251,interviews,63300,https://github.com/kdn251/interviews
TheAlgorithms,Java,58500,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,54400,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,50300,https://github.com/youngyangyang04/leetcode-master
algorithm-visualizer,algorithm-visualizer,46500,https://github.com/algorithm-visualizer/algorithm-visualizer
huihut,interview,34300,https://github.com/huihut/interview
halfrost,LeetCode-Go,32700,https://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,32000,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,30000,https://github.com/TheAlgorithms/C-Plus-Plus
donnemartin,interactive-coding-challenges,29300,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27100,https://github.com/crossoverJie/JCSprout
keon,algorithms,23900,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,23200,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,22900,https://github.com/trekhleb/homemade-machine-learning
