username,repo_name,stars,repo_url
bregman-arie,devops-exercises,65700,https://github.com/bregman-arie/devops-exercises
ansible,ansible,62200,https://github.com/ansible/ansible
trailofbits,algo,28600,https://github.com/trailofbits/algo
MichaelCade,90DaysOfDevOps,26400,https://github.com/MichaelCade/90DaysOfDevOps
StreisandEffect,streisand,23200,https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,15800,https://github.com/kubernetes-sigs/kubespray
ansible,awx,13800,https://github.com/ansible/awx
easzlab,kubeasz,10400,https://github.com/easzlab/kubeasz
semaphoreui,semaphore,10200,https://github.com/semaphoreui/semaphore
netbootxyz,netboot.xyz,8900,https://github.com/netbootxyz/netboot.xyz
geerlingguy,ansible-for-devops,8300,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,8000,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,8000,https://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,5900,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,5500,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,5000,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4600,https://github.com/clong/DetectionLab
ChristianLempa,boilerplates,4400,https://github.com/ChristianLempa/boilerplates
dev-sec,ansible-collection-hardening,3900,https://github.com/dev-sec/ansible-collection-hardening
ansible,molecule,3900,https://github.com/ansible/molecule
