username,repo_name,stars,repo_url
jaywcjlove,linux-command,30900,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,24100,https://github.com/refined-github/refined-github
openai-translator,openai-translator,23500,https://github.com/openai-translator/openai-translator
darkreader,darkreader,19400,https://github.com/darkreader/darkreader
dailydotdev,daily,17900,https://github.com/dailydotdev/daily
checkly,headless-recorder,15000,https://github.com/checkly/headless-recorder
gildas-lormeau,SingleFile,14700,https://github.com/gildas-lormeau/SingleFile
unbug,codelf,14100,https://github.com/unbug/codelf
immersive-translate,immersive-translate,14000,https://github.com/immersive-translate/immersive-translate
wong2,chatgpt-google-extension,13300,https://github.com/wong2/chatgpt-google-extension
Anarios,return-youtube-dislike,12500,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,11900,https://github.com/crimx/ext-saladict
alyssaxuu,screenity,11600,https://github.com/alyssaxuu/screenity
listen1,listen1_chrome_extension,11400,https://github.com/listen1/listen1_chrome_extension
AutomaApp,automa,11200,https://github.com/AutomaApp/automa
PlasmoHQ,plasmo,10000,https://github.com/PlasmoHQ/plasmo
chathub-dev,chathub,9900,https://github.com/chathub-dev/chathub
josStorer,chatGPTBox,9900,https://github.com/josStorer/chatGPTBox
ajayyy,SponsorBlock,9700,https://github.com/ajayyy/SponsorBlock
xifangczy,cat-catch,8900,https://github.com/xifangczy/cat-catch
