username,repo_name,stars,repo_url
electron,electron,114000,https://github.com/electron/electron
puppeteer,puppeteer,88100,https://github.com/puppeteer/puppeteer
microsoft,playwright,65300,https://github.com/microsoft/playwright
FiloSottile,mkcert,48300,https://github.com/FiloSottile/mkcert
jaywcjlove,linux-command,30900,https://github.com/jaywcjlove/linux-command
ovity,octotree,22800,https://github.com/ovity/octotree
segment-boneyard,nightmare,19500,https://github.com/segment-boneyard/nightmare
GoogleChrome,chrome-extensions-samples,15100,https://github.com/GoogleChrome/chrome-extensions-samples
checkly,headless-recorder,15000,https://github.com/checkly/headless-recorder
gildas-lormeau,SingleFile,14700,https://github.com/gildas-lormeau/SingleFile
google,WebFundamentals,13900,https://github.com/google/WebFundamentals
schickling,chromeless,13200,https://github.com/schickling/chromeless
casesandberg,react-color,12000,https://github.com/casesandberg/react-color
crimx,ext-saladict,11900,https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,11800,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,10800,https://github.com/chromedp/chromedp
feder-cr,linkedIn_auto_jobs_applier_with_AI,10600,https://github.com/feder-cr/linkedIn_auto_jobs_applier_with_AI
moonD4rk,HackBrowserData,10600,https://github.com/moonD4rk/HackBrowserData
ajayyy,SponsorBlock,9700,https://github.com/ajayyy/SponsorBlock
ultrafunkamsterdam,undetected-chromedriver,9500,https://github.com/ultrafunkamsterdam/undetected-chromedriver
