username,repo_name,stars,repo_url
crystal-lang,crystal,19300,https://github.com/crystal-lang/crystal
kemalcr,kemal,3600,https://github.com/kemalcr/kemal
veelenga,awesome-crystal,3300,https://github.com/veelenga/awesome-crystal
luckyframework,lucky,2600,https://github.com/luckyframework/lucky
amberframework,amber,2600,https://github.com/amberframework/amber
vitobotta,hetzner-k3s,1700,https://github.com/vitobotta/hetzner-k3s
getmango,Mango,1700,https://github.com/getmango/Mango
ffwff,lilith,1100,https://github.com/ffwff/lilith
drujensen,fib,858,https://github.com/drujensen/fib
amethyst-framework,amethyst,649,https://github.com/amethyst-framework/amethyst
hanabi1224,Programming-Language-Benchmarks,630,https://github.com/hanabi1224/Programming-Language-Benchmarks
askn,crystal-by-example,550,https://github.com/askn/crystal-by-example
owasp-noir,noir,550,https://github.com/owasp-noir/noir
crystal-ameba,ameba,514,https://github.com/crystal-ameba/ameba
crystal-community,icr,502,https://github.com/crystal-community/icr
will,crystal-pg,462,https://github.com/will/crystal-pg
elbywan,crystalline,431,https://github.com/elbywan/crystalline
imdrasil,jennifer.cr,417,https://github.com/imdrasil/jennifer.cr
vim-crystal,vim-crystal,413,https://github.com/vim-crystal/vim-crystal
martenframework,marten,404,https://github.com/martenframework/marten
